0	0	0	0	3	0	3	0
0	0	0	0	3	3	3	3
0.42341	0	0.44428	0	3	3	3	3
0.82804	0.42341	0.88771	0.44428	3	3	3	3
1.2213	0.82804	1.3303	0.88771	3	3	3	3
1.6057	1.2213	1.7721	1.3303	3	3	3	3
1.9823	1.6057	2.2131	1.7721	3	3	3	3
2.3523	1.9823	2.6533	2.2131	3	3	3	3
2.7161	2.3523	3.0927	2.6533	3	3	3	3
3.0743	2.7161	3.5314	3.0927	3	3	3	3
3.4274	3.0743	3.9693	3.5314	3	3	3	3
3.7757	3.4274	4.4064	3.9693	3	3	3	3
4.1195	3.7757	4.8427	4.4064	3	3	3	3
4.459	4.1195	5.2783	4.8427	3	3	3	3
4.7945	4.459	5.7131	5.2783	3	3	3	3
5.126	4.7945	6.1472	5.7131	3	3	3	3
5.4539	5.126	6.5806	6.1472	3	3	3	3
5.7782	5.4539	7.0132	6.5806	3	3	3	3
6.0991	5.7782	7.4451	7.0132	3	3	3	3
6.4168	6.0991	7.8762	7.4451	3	3	3	3
6.7313	6.4168	8.3066	7.8762	3	3	3	3
7.0427	6.7313	8.7363	8.3066	3	3	3	3
7.3511	7.0427	9.1652	8.7363	3	3	3	3
7.6567	7.3511	9.5935	9.1652	3	3	3	3
7.9594	7.6567	10.021	9.5935	3	3	3	3
8.2595	7.9594	10.448	10.021	3	3	3	3
8.5569	8.2595	10.874	10.448	3	3	3	3
8.8518	8.5569	11.299	10.874	3	3	3	3
9.1441	8.8518	11.724	11.299	3	3	3	3
9.434	9.1441	12.148	11.724	3	3	3	3
9.7216	9.434	12.571	12.148	3	3	3	3
10.007	9.7216	12.994	12.571	3	3	3	3
10.29	10.007	13.416	12.994	3	3	3	3
10.57	10.29	13.837	13.416	3	3	3	3
10.849	10.57	14.257	13.837	3	3	3	3
11.125	10.849	14.677	14.257	3	3	3	3
11.399	11.125	15.096	14.677	3	3	3	3
11.672	11.399	15.515	15.096	3	3	3	3
11.942	11.672	15.933	15.515	3	3	3	3
12.21	11.942	16.35	15.933	3	3	3	3
12.476	12.21	16.766	16.35	3	3	3	3
12.741	12.476	17.182	16.766	3	3	3	3
13.003	12.741	17.597	17.182	3	3	3	3
13.264	13.003	18.011	17.597	2.8992	3	2.9428	3
13.523	13.264	18.425	18.011	2.485	2.8992	2.1967	2.9428
13.765	13.523	18.83	18.425	2.2105	2.485	1.7094	2.1967
13.944	13.765	19.123	18.83	2.0022	2.2105	1.337	1.7094
14.082	13.944	19.344	19.123	1.8469	2.0022	1.0588	1.337
14.188	14.082	19.509	19.344	1.7308	1.8469	0.85016	1.0588
14.27	14.188	19.633	19.509	1.6439	1.7308	0.69382	0.85016
14.334	14.27	19.726	19.633	1.5788	1.6439	0.57661	0.69382
14.386	14.334	19.795	19.726	1.5298	1.5788	0.48869	0.57661
