0	15	20	0	0	0	0
0.1	15	20	0.423413	0.444284	0.423413	0.444284
0.2	15	20	0.828044	0.88771	0.828044	0.88771
0.3	15	20	1.22135	1.33031	1.22135	1.33031
0.4	15	20	1.60567	1.77211	1.60567	1.77211
0.5	15	20	1.98233	2.21311	1.98233	2.21311
0.6	15	20	2.35225	2.65332	2.35225	2.65332
0.7	15	20	2.71608	3.09274	2.71608	3.09274
0.8	15	20	3.07435	3.53139	3.07435	3.53139
0.9	15	20	3.42745	3.96926	3.42745	3.96926
1	15	20	3.77575	4.40637	3.77575	4.40637
1.1	15	20	4.11952	4.84272	4.11952	4.84272
1.2	15	20	4.45902	5.27831	4.45902	5.27831
1.3	15	20	4.79446	5.71314	4.79446	5.71314
1.4	15	20	5.12603	6.14723	5.12603	6.14723
1.5	15	20	5.4539	6.58058	5.4539	6.58058
1.6	15	20	5.77823	7.01319	5.77823	7.01319
1.7	15	20	6.09915	7.44505	6.09915	7.44505
1.8	15	20	6.41679	7.87619	6.41679	7.87619
1.9	15	20	6.73125	8.3066	6.73125	8.3066
2	15	20	7.04266	8.73628	7.04266	8.73628
2.1	15	20	7.3511	9.16524	7.3511	9.16524
2.2	15	20	7.65667	9.59347	7.65667	9.59347
2.3	15	20	7.95944	10.021	7.95944	10.021
2.4	15	20	8.2595	10.4478	8.2595	10.4478
2.5	15	20	8.55693	10.8739	8.55693	10.8739
2.6	15	20	8.85178	11.2993	8.85178	11.2993
2.7	15	20	9.14413	11.724	9.14413	11.724
2.8	15	20	9.43403	12.148	9.43403	12.148
2.9	15	20	9.72155	12.5712	9.72155	12.5712
3	15	20	10.0067	12.9938	10.0067	12.9938
3.1	15	20	10.2896	13.4157	10.2896	13.4157
3.2	15	20	10.5703	13.8369	10.5703	13.8369
3.3	15	20	10.8488	14.2574	10.8488	14.2574
3.4	15	20	11.1252	14.6773	11.1252	14.6773
3.5	15	20	11.3994	15.0964	11.3994	15.0964
3.6	15	20	11.6716	15.5149	11.6716	15.5149
3.7	15	20	11.9418	15.9326	11.9418	15.9326
3.8	15	20	12.21	16.3497	12.21	16.3497
3.9	15	20	12.4763	16.7662	12.4763	16.7662
4	15	20	12.7407	17.1819	12.7407	17.1819
4.1	15	20	13.0031	17.597	13.0031	17.597
4.2	15	20	13.2638	18.0114	13.2638	18.0114
4.3	15	20	13.5226	18.4252	13.5226	18.4252
4.4	15	20	13.7648	18.8297	13.7648	18.8297
4.5	15	20	13.9441	19.1231	13.9441	19.1231
4.6	15	20	14.0817	19.3439	14.0817	19.3439
4.7	15	20	14.1876	19.5092	14.1876	19.5092
4.8	15	20	14.2698	19.633	14.2698	19.633
4.9	15	20	14.3343	19.7258	14.3343	19.7258
5	15	20	14.3856	19.7953	14.3856	19.7953
5.1	15	20	14.4268	19.8474	14.4268	19.8474
5.2	15	20	14.4606	19.8865	14.4606	19.8865
5.3	15	20	14.4887	19.9158	14.4887	19.9158
5.4	15	20	14.5126	19.9378	14.5126	19.9378
5.5	15	20	14.5331	19.9544	14.5331	19.9544
5.6	15	20	14.5511	19.9668	14.5511	19.9668
5.7	15	20	14.5672	19.9761	14.5672	19.9761
5.8	15	20	14.5818	19.9831	14.5818	19.9831
5.9	15	20	14.5951	19.9884	14.5951	19.9884
6	15	20	14.6075	19.9925	14.6075	19.9925
